obs,pop,buurt,buurt
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-J77-h,1530,Buurt G.G,https://adamlink.nl/geo/district/buurt-gg/113
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K77-h,3206,Buurt G.G,https://adamlink.nl/geo/district/buurt-gg/113
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-L77-h,3485,Buurt G.G,https://adamlink.nl/geo/district/buurt-gg/113
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-M77-h,3201,Buurt G.G,https://adamlink.nl/geo/district/buurt-gg/113
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-N77-h,3483,Buurt G.G,https://adamlink.nl/geo/district/buurt-gg/113
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-O77-h,5,Buurt G.G,https://adamlink.nl/geo/district/buurt-gg/113
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-P77-h,2,Buurt G.G,https://adamlink.nl/geo/district/buurt-gg/113
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-Q77-h,53,Buurt G.G,https://adamlink.nl/geo/district/buurt-gg/113
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-R77-h,13,Buurt G.G,https://adamlink.nl/geo/district/buurt-gg/113
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-F53-h,518,Buurt H,https://adamlink.nl/geo/district/buurt-h/129
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-G53-h,1,Buurt H,https://adamlink.nl/geo/district/buurt-h/129
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-J53-h,1067,Buurt H,https://adamlink.nl/geo/district/buurt-h/129
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K53-h,2342,Buurt H,https://adamlink.nl/geo/district/buurt-h/129
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-L53-h,2732,Buurt H,https://adamlink.nl/geo/district/buurt-h/129
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-M53-h,2319,Buurt H,https://adamlink.nl/geo/district/buurt-h/129
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-N53-h,2704,Buurt H,https://adamlink.nl/geo/district/buurt-h/129
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-O53-h,23,Buurt H,https://adamlink.nl/geo/district/buurt-h/129
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-P53-h,28,Buurt H,https://adamlink.nl/geo/district/buurt-h/129
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-Q53-h,65,Buurt H,https://adamlink.nl/geo/district/buurt-h/129
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-R53-h,14,Buurt H,https://adamlink.nl/geo/district/buurt-h/129
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-F78-h,423,Buurt H.H,https://adamlink.nl/geo/district/buurt-hh/114
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-G78-h,1,Buurt H.H,https://adamlink.nl/geo/district/buurt-hh/114
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-J78-h,869,Buurt H.H,https://adamlink.nl/geo/district/buurt-hh/114
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K78-h,1804,Buurt H.H,https://adamlink.nl/geo/district/buurt-hh/114
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-L78-h,2241,Buurt H.H,https://adamlink.nl/geo/district/buurt-hh/114
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-M78-h,1801,Buurt H.H,https://adamlink.nl/geo/district/buurt-hh/114
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-N78-h,2239,Buurt H.H,https://adamlink.nl/geo/district/buurt-hh/114
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-O78-h,3,Buurt H.H,https://adamlink.nl/geo/district/buurt-hh/114
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-P78-h,2,Buurt H.H,https://adamlink.nl/geo/district/buurt-hh/114
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-Q78-h,37,Buurt H.H,https://adamlink.nl/geo/district/buurt-hh/114
