WKT,nummer
"POINT (121727.459631749 487548.793068587)",588
"POINT (121723.816398247 487550.730958748)",589
"POINT (121755.830343699 487537.747094672)",590
"POINT (121761.488982968 487547.7466079)",591
"POINT (121756.45046855 487551.079778977)",592
"POINT (121751.722016559 487553.715309595)",593
"POINT (121747.536173812 487556.273324607)",594
"POINT (121744.590580768 487557.901152342)",595
"POINT (121741.102378479 487560.149104928)",596
"POINT (121736.373926487 487562.70711994)",597
"POINT (121731.025349644 487565.807744197)",598
"POINT (121726.296897652 487568.98588406)",599
"POINT (121721.645961267 487571.853961498)",600
"POINT (121716.762478063 487574.644523329)",601
"POINT (121711.568932432 487577.977694405)",602
"POINT (121706.530418015 487580.69074063)",603
"POINT (121701.724450417 487583.868880493)",604
"POINT (121697.228545244 487587.124535963)",605
"POINT (121647.07594789 487546.700147214)",606
"POINT (121643.975323633 487543.832069776)",607
"POINT (121640.719668163 487539.956289455)",608
"POINT (121636.843887842 487536.39057156)",609
"POINT (121633.743263585 487532.204728813)",610
"POINT (121629.789967658 487527.708823641)",611
"POINT (121625.83667173 487523.445465287)",612
"POINT (121622.425985048 487519.569684966)",613
"POINT (121619.867970036 487516.701607529)",614
"POINT (121617.464986237 487514.376139336)",615
"POINT (121615.682127289 487511.04296826)",616
"POINT (121624.286359602 487507.864828397)",617
"POINT (121627.929593104 487507.360976955)",618
"POINT (121630.642639328 487506.7020943)",619
"POINT (121633.820779192 487505.926938236)",620
"POINT (121637.270223677 487512.321975766)",621
"POINT (121639.169356035 487516.3527873)",622
"POINT (121654.091110271 487532.553549042)",623
"POINT (121660.331116588 487534.607712612)",624
"POINT (121666.99745874 487536.933180805)",625
"POINT (121662.152733339 487540.886476732)",626
"POINT (121660.815589128 487472.692121983)",627
"POINT (121658.180058509 487477.963183219)",628
"POINT (121654.769371827 487490.52071146)",629
"POINT (121653.684153337 487498.349787708)",630
"POINT (121654.459309401 487508.659363362)",631
"POINT (121654.614340614 487515.480736727)",632
"POINT (121678.179084966 487529.976155128)",633
"POINT (121687.51971554 487531.68149847)",634
"POINT (121692.364440941 487532.146592108)",635
"POINT (121698.13935362 487531.836529682)",636
"POINT (121707.867562226 487528.077022771)",637
"POINT (121717.208192799 487526.953046478)",638
