"lp","straaturi","year"
100433,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100434,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100435,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100437,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100439,"https://adamlink.nl/geo/street/geldersekade/1459",1876
100440,"https://adamlink.nl/geo/street/geldersekade/1459",1876
100441,"https://adamlink.nl/geo/street/geldersekade/1459",1876
100442,"https://adamlink.nl/geo/street/geldersekade/1459",1876
100443,"https://adamlink.nl/geo/street/geldersekade/1459",1876
100444,"https://adamlink.nl/geo/street/geldersekade/1459",1876
100445,"https://adamlink.nl/geo/street/geldersekade/1459",1876
100446,"https://adamlink.nl/geo/street/geldersekade/1459",1876
100447,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100448,"https://adamlink.nl/geo/street/zeedijk/5154",1876
